atr_mult,equity_stop,max_open,vol_block,rebound,dd_pause_bars,atr_fast,e_final,e_dd,e_months,e_yup,e_tpy,e_peak,e_ruin
4.5,20.0,10,0.8,0.45,10,15,1836.8418350149623,11.232634033944215,66.51982378854625,18,287.7894736842105,6,False
4.5,20.0,10,0.8,0.65,10,15,2321.948954901397,18.865017656035203,71.36563876651982,19,243.78947368421052,7,False
4.5,20.0,10,1.0,0.45,10,15,1173.492955975289,19.066899139413014,58.590308370044056,17,365.57894736842104,7,False
4.5,20.0,10,1.0,0.65,10,15,1422.1507047139837,26.54008037799182,60.792951541850215,19,310.2105263157895,8,False
4.5,20.0,20,0.8,0.45,10,15,1747.907476336202,14.119070635687825,67.40088105726872,18,361.8421052631579,7,False
4.5,20.0,20,0.8,0.65,10,15,2463.579783572657,15.163375898700988,78.8546255506608,19,291.7894736842105,10,False
4.5,20.0,20,1.0,0.45,10,15,1075.2712685314875,28.89858423688816,58.590308370044056,16,408.89473684210526,9,False
4.5,20.0,20,1.0,0.65,10,15,2010.215515653054,23.562370147517036,66.07929515418502,19,333.5263157894737,7,False
4.5,35.0,10,0.8,0.45,10,15,1851.7379514048364,16.711547975104086,57.70925110132159,17,283.7368421052632,7,False
4.5,35.0,10,0.8,0.65,10,15,2880.9876126810304,23.14262002430362,68.72246696035242,19,206.26315789473685,8,False
4.5,35.0,10,1.0,0.45,10,15,1502.0883908403991,21.50389165382986,56.82819383259912,18,359.10526315789474,7,False
4.5,35.0,10,1.0,0.65,10,15,2223.1142345404073,31.540713992764868,64.75770925110133,19,265.0,6,False
