atr_mult,rebound,vol_block,equity_stop,max_open,dd_pause_bars,atr_fast,e_final,e_dd,e_months,e_yup,e_tpy,e_peak,e_ruin
2.5,0.45,1.0,16.0,40,10,15,-844.1124124881687,924.6590540012338,17.62114537444934,16,1169.578947368421,8,True
2.5,0.65,0.8,6.0,20,10,15,625.4327631070742,25.18967928753143,52.863436123348016,11,756.6315789473684,14,False
2.5,0.65,0.8,6.0,40,10,15,514.855449173089,32.40934179303121,48.89867841409692,8,790.1052631578947,14,False
2.5,0.65,0.8,10.0,20,10,15,626.6610511107355,25.150591944536338,52.863436123348016,11,754.2105263157895,14,False
2.5,0.65,0.8,10.0,40,10,15,515.7092347042264,32.37297826852993,48.458149779735685,8,789.5263157894736,14,False
2.5,0.65,0.8,16.0,20,10,15,772.5114607719149,24.86536601152373,54.18502202643172,12,755.3157894736842,14,False
2.5,0.65,0.8,16.0,40,10,15,626.3166984488538,28.2645684251303,49.33920704845815,8,789.1052631578947,14,False
2.5,0.65,1.0,6.0,20,10,15,-120.36619632518406,134.812014052365,29.955947136563875,9,976.2105263157895,10,True
2.5,0.65,1.0,6.0,40,10,15,-170.3628769695157,151.50260132038974,28.634361233480178,10,995.9473684210526,10,True
2.5,0.65,1.0,10.0,20,10,15,-102.90689689336475,128.38087735192912,29.955947136563875,8,975.2105263157895,10,True
2.5,0.65,1.0,10.0,40,10,15,-151.43702545436093,143.36454345576058,28.634361233480178,10,995.1052631578947,10,True
2.5,0.65,1.0,16.0,20,10,15,-179.1080873695584,162.13932303345965,29.074889867841406,10,974.6315789473684,10,True
2.5,0.65,1.0,16.0,40,10,15,-228.54533468054842,183.53009382087018,27.75330396475771,11,994.4736842105264,10,True
3.0,0.45,0.8,6.0,20,10,15,575.8506382700533,27.65433371101198,50.66079295154186,10,701.7368421052631,9,False
3.0,0.45,0.8,6.0,40,10,15,535.8922735722567,31.22318642406143,50.66079295154186,12,717.0,9,False
3.0,0.45,0.8,10.0,20,10,15,511.08654816017497,30.129726331072494,48.458149779735685,10,700.2631578947369,9,False
3.0,0.45,0.8,10.0,40,10,15,523.8282816766656,31.719575650540673,48.01762114537445,11,714.7894736842105,9,False
3.0,0.45,0.8,16.0,20,10,15,714.301134781904,23.52290625113348,47.136563876651984,10,697.8421052631579,9,False
3.0,0.45,0.8,16.0,40,10,15,658.6947111555345,26.9328338684117,48.01762114537445,11,714.421052631579,9,False
3.0,0.45,1.0,6.0,20,10,15,-114.4755660339213,182.32924878874667,35.24229074889868,10,868.0526315789474,6,True
3.0,0.45,1.0,6.0,40,10,15,-112.65533169326622,182.26707269900535,35.68281938325991,11,874.3684210526316,6,True
3.0,0.45,1.0,10.0,20,10,15,-118.57576603392835,187.58243412595317,35.24229074889868,11,868.2631578947369,6,True
3.0,0.45,1.0,10.0,40,10,15,-117.32878883612426,188.262877000939,35.68281938325991,11,874.421052631579,6,True
3.0,0.45,1.0,16.0,20,10,15,-124.92912317678628,196.34823519772056,35.24229074889868,11,867.8947368421053,6,True
3.0,0.45,1.0,16.0,40,10,15,-123.16483169325878,196.3278196285836,35.68281938325991,11,874.6842105263158,6,True
3.0,0.65,0.8,6.0,20,10,15,1278.725045213134,24.185341669246252,74.00881057268722,18,593.2631578947369,10,False
3.0,0.65,0.8,6.0,40,10,15,1276.322033824533,25.000911390669085,71.80616740088107,18,611.1052631578947,10,False
3.0,0.65,0.8,10.0,20,10,15,1344.7241607434655,23.286816011003232,70.92511013215858,18,587.0526315789474,10,False
3.0,0.65,0.8,10.0,40,10,15,1373.7946143274,23.41586744444697,70.48458149779736,18,611.2631578947369,10,False
3.0,0.65,0.8,16.0,20,10,15,1641.7817132534437,23.095211455311958,67.84140969162996,17,578.0,10,False
